page_url,product_code,product_name,image_url,image_role,evidence,note
https://machine-group.net/products/hycy26924at/,HYCY26924AT,CYBEX スクワットプレス,https://machine-group.net/wp-content/uploads/HYCY26924AT_1.png,detail_gallery_main,detail_html img src,HEAD 200
https://machine-group.net/products/hycy26924at/,HYCY26924AT,CYBEX スクワットプレス,https://machine-group.net/wp-content/uploads/HYCY26924AT_2.png,detail_gallery_sub,detail_html img src,public gallery sample
https://machine-group.net/products/hynt23899at/,HYNT23899AT,Nautilus NITRO アブドミナル,https://machine-group.net/wp-content/uploads/HYNT23899AT_1.jpg,detail_gallery_main,detail_html img src,HEAD 200
https://machine-group.net/products/hynt23899at/,HYNT23899AT,Nautilus NITRO アブドミナル,https://machine-group.net/wp-content/uploads/HYNT23899AT_2.jpg,detail_gallery_sub,detail_html img src,public gallery sample
https://machine-group.net/products/hyot23888at/,HYOT23888AT,,https://machine-group.net/wp-content/uploads/HYOT23888AT_1.jpg,home_card_main,top_html img src,homepage sample
