sd_product_code,slug,display_url,image_shape_type,white_pad_visible,looks_natural,needs_followup,notes
HYMX22754AT,hymx22754at,public-700x700/HYMX22754AT/HYMX22754AT-01-700x700.jpg,horizontal,yes,yes,no,白余白あり / 一覧カードでは商品全体を把握しやすい
EHTC22772AT,ehtc22772at,public-700x700/EHTC22772AT/EHTC22772AT-01-700x700.jpg,vertical,yes,yes,no,白余白あり / 一覧カードでは商品全体を把握しやすい
HYCY26924AT,hycy26924at,public-700x700/HYCY26924AT/HYCY26924AT-01-700x700.jpg,square,no,yes,no,一覧カードでは商品全体を把握しやすい
HYCP20610AT,hycp20610at,public-700x700/HYCP20610AT/HYCP20610AT-01-700x700.jpg,square,no,yes,no,一覧カードでは商品全体を把握しやすい
HYEL15009AT,hyel15009at,public-700x700/HYEL15009AT/HYEL15009AT-01-700x700.jpg,square,no,no,yes,placeholder_source_image
HYBL16161AT,hybl16161at,public-700x700/HYBL16161AT/HYBL16161AT-01-700x700.jpg,vertical,yes,yes,no,白余白あり / 一覧カードでは商品全体を把握しやすい
MDHZMD249AT,mdhzmd249at,public-700x700/MDHZMD249AT/MDHZMD249AT-01-700x700.jpg,vertical,yes,yes,no,白余白あり / 一覧カードでは商品全体を把握しやすい
OOEL15011AT,ooel15011at,public-700x700/OOEL15011AT/OOEL15011AT-01-700x700.jpg,square,no,no,yes,placeholder_source_image
HYKT16087AT,hykt16087at,public-700x700/HYKT16087AT/HYKT16087AT-01-700x700.jpg,square,no,no,yes,placeholder_source_image
