sd_product_code,slug,gallery_count,primary_looks_natural,gallery_order_natural,placeholder_included,needs_followup,notes
HYMX22754AT,hymx22754at,4,yes,yes,no,no,image_seq順で自然
EHTC22772AT,ehtc22772at,5,yes,yes,no,no,image_seq順で自然
HYCY26924AT,hycy26924at,2,yes,yes,no,no,image_seq順で自然
HYCP20610AT,hycp20610at,6,yes,yes,no,no,image_seq順で自然
HYEL15009AT,hyel15009at,1,no,yes,yes,yes,単画像のため順序確認は不要 / placeholder_source_image / gallery非表示または画像準備中候補
HYBL16161AT,hybl16161at,2,yes,yes,no,no,image_seq順で自然
MDHZMD249AT,mdhzmd249at,3,yes,yes,no,no,image_seq順で自然
OOEL15011AT,ooel15011at,1,no,yes,yes,yes,単画像のため順序確認は不要 / placeholder_source_image / gallery非表示または画像準備中候補
HYKT16087AT,hykt16087at,1,no,yes,yes,yes,単画像のため順序確認は不要 / placeholder_source_image / gallery非表示または画像準備中候補
