row_no,level,issue_code,message,sd_product_code,master_type,raw_value
618,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",HYOT21617AT,,
619,warning,image_missing,No source image URLs found in 画像1〜3.,MIYY21618AT,,
620,warning,image_missing,No source image URLs found in 画像1〜3.,MIYY21619AT,,
621,warning,image_missing,No source image URLs found in 画像1〜3.,HYSN21620AT,,
622,warning,image_missing,No source image URLs found in 画像1〜3.,SAMG21621AT,,
623,warning,image_missing,No source image URLs found in 画像1〜3.,SATR21622AT,,
624,warning,image_missing,No source image URLs found in 画像1〜3.,SACY21623AT,,
625,warning,image_missing,No source image URLs found in 画像1〜3.,SACY21624AT,,
626,warning,image_missing,No source image URLs found in 画像1〜3.,SAKS21625AT,,
627,warning,image_missing,No source image URLs found in 画像1〜3.,SAKS21626AT,,
628,warning,image_missing,No source image URLs found in 画像1〜3.,MIBL21627AT,,
629,warning,image_missing,No source image URLs found in 画像1〜3.,SAKS21628AT,,
630,warning,image_missing,No source image URLs found in 画像1〜3.,SASN21629AT,,
631,warning,image_missing,No source image URLs found in 画像1〜3.,SAIS21630AT,,
632,warning,image_missing,No source image URLs found in 画像1〜3.,SAZV21631AT,,
633,warning,image_missing,No source image URLs found in 画像1〜3.,SAOT21632AT,,
633,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",SAOT21632AT,,
634,warning,image_missing,No source image URLs found in 画像1〜3.,HYNB21633AT,,
635,warning,image_missing,No source image URLs found in 画像1〜3.,HYIV21634AT,,
636,warning,image_missing,No source image URLs found in 画像1〜3.,YANT21635AT,,
637,warning,image_missing,No source image URLs found in 画像1〜3.,MITG21636AT,,
638,warning,image_missing,No source image URLs found in 画像1〜3.,HYHT21637AT,,
639,warning,image_missing,No source image URLs found in 画像1〜3.,MINB21638AT,,
640,warning,image_missing,No source image URLs found in 画像1〜3.,HYNT21639AT,,
641,warning,image_missing,No source image URLs found in 画像1〜3.,MITR21640AT,,
642,warning,image_missing,No source image URLs found in 画像1〜3.,HYHZ21641AT,,
643,warning,image_missing,No source image URLs found in 画像1〜3.,SAMC21642AT,,
643,warning,sd_product_code_validation,"Maker legacy code MC is shared by ['MAXICAM', 'MUSCLE_CLAMP'].",SAMC21642AT,,
644,warning,image_missing,No source image URLs found in 画像1〜3.,SAMC21643AT,,
644,warning,sd_product_code_validation,"Maker legacy code MC is shared by ['MAXICAM', 'MUSCLE_CLAMP'].",SAMC21643AT,,
645,warning,image_missing,No source image URLs found in 画像1〜3.,SAMC21644AT,,
645,warning,sd_product_code_validation,"Maker legacy code MC is shared by ['MAXICAM', 'MUSCLE_CLAMP'].",SAMC21644AT,,
646,warning,image_missing,No source image URLs found in 画像1〜3.,SAMC21645AT,,
646,warning,sd_product_code_validation,"Maker legacy code MC is shared by ['MAXICAM', 'MUSCLE_CLAMP'].",SAMC21645AT,,
647,warning,image_missing,No source image URLs found in 画像1〜3.,SAMC21646AT,,
647,warning,sd_product_code_validation,"Maker legacy code MC is shared by ['MAXICAM', 'MUSCLE_CLAMP'].",SAMC21646AT,,
648,warning,image_missing,No source image URLs found in 画像1〜3.,SAMC21647AT,,
648,warning,sd_product_code_validation,"Maker legacy code MC is shared by ['MAXICAM', 'MUSCLE_CLAMP'].",SAMC21647AT,,
649,warning,image_missing,No source image URLs found in 画像1〜3.,HYCP21648AT,,
650,warning,image_missing,No source image URLs found in 画像1〜3.,HYCY21649AT,,
651,warning,image_missing,No source image URLs found in 画像1〜3.,MINT21650AT,,
652,warning,image_missing,No source image URLs found in 画像1〜3.,SANT21651AT,,
653,warning,image_missing,No source image URLs found in 画像1〜3.,SAHT21652AT,,
654,warning,image_missing,No source image URLs found in 画像1〜3.,HYCP21653AT,,
655,warning,image_missing,No source image URLs found in 画像1〜3.,SASN21654AT,,
656,warning,image_missing,No source image URLs found in 画像1〜3.,HYCY21655AT,,
657,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG21656AT,,
658,warning,image_missing,No source image URLs found in 画像1〜3.,SAIV21657AT,,
659,warning,image_missing,No source image URLs found in 画像1〜3.,SAIP21658AT,,
660,warning,image_missing,No source image URLs found in 画像1〜3.,MIHZ21659AT,,
661,warning,image_missing,No source image URLs found in 画像1〜3.,HYZV21660AT,,
662,warning,image_missing,No source image URLs found in 画像1〜3.,HYIV21661AT,,
663,warning,image_missing,No source image URLs found in 画像1〜3.,HYIV21662AT,,
664,warning,image_missing,No source image URLs found in 画像1〜3.,HYIV21663AT,,
665,warning,image_missing,No source image URLs found in 画像1〜3.,HYSN21664AT,,
666,warning,image_missing,No source image URLs found in 画像1〜3.,HYKT21665AT,,
666,warning,sd_product_code_validation,Legacy maker code KT is accepted for expected KO.,HYKT21665AT,,
667,warning,image_missing,No source image URLs found in 画像1〜3.,HYMG21666AT,,
668,warning,image_missing,No source image URLs found in 画像1〜3.,HYCP21667AT,,
669,warning,image_missing,No source image URLs found in 画像1〜3.,HYIC21668AT,,
670,warning,image_missing,No source image URLs found in 画像1〜3.,HYNT21669AT,,
671,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG21670AT,,
672,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG21671AT,,
673,warning,image_missing,No source image URLs found in 画像1〜3.,HYZV21672AT,,
674,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG21673AT,,
675,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG21674AT,,
676,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG21675AT,,
677,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG21676AT,,
678,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG21677AT,,
679,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG21678AT,,
680,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX21679AT,,
681,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX21680AT,,
682,warning,image_missing,No source image URLs found in 画像1〜3.,HYOT21681AT,,
682,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",HYOT21681AT,,
683,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX21682AT,,
684,warning,image_missing,No source image URLs found in 画像1〜3.,HYPR21683AT,,
685,warning,image_missing,No source image URLs found in 画像1〜3.,HYHR21684AT,,
686,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX21685AT,,
687,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG21686AT,,
688,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX21687AT,,
689,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX21688AT,,
690,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG21689AT,,
691,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG21690AT,,
692,warning,maker_unregistered,maker is empty.,HYOT21691AT,maker,
692,warning,image_missing,No source image URLs found in 画像1〜3.,HYOT21691AT,,
692,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",HYOT21691AT,,
693,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG21692AT,,
694,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX21693AT,,
695,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX21694AT,,
696,warning,maker_unregistered,maker is empty.,HYOT21695AT,maker,
696,warning,image_missing,No source image URLs found in 画像1〜3.,HYOT21695AT,,
696,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",HYOT21695AT,,
697,warning,maker_unregistered,maker is empty.,HYOT21696AT,maker,
697,warning,image_missing,No source image URLs found in 画像1〜3.,HYOT21696AT,,
697,warning,sd_product_code_validation,"Maker legacy code OT is shared by ['OLYMPIC', 'OTHER'].",HYOT21696AT,,
698,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX21697AT,,
699,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX21698AT,,
700,warning,image_missing,No source image URLs found in 画像1〜3.,HYTG21699AT,,
701,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX21700AT,,
702,warning,image_missing,No source image URLs found in 画像1〜3.,HYMX21701AT,,
703,warning,image_missing,No source image URLs found in 画像1〜3.,HYMG21702AT,,
