sd_product_code,slug,display_url,gallery_count,check_reason
HYMX22754AT,hymx22754at,public-700x700/HYMX22754AT/HYMX22754AT-01-700x700.jpg,4,white_padding_horizontal
EHTC22772AT,ehtc22772at,public-700x700/EHTC22772AT/EHTC22772AT-01-700x700.jpg,5,white_padding_vertical
HYCY26924AT,hycy26924at,public-700x700/HYCY26924AT/HYCY26924AT-01-700x700.jpg,2,png_source
HYCP20610AT,hycp20610at,public-700x700/HYCP20610AT/HYCP20610AT-01-700x700.jpg,6,rich_gallery
HYEL15009AT,hyel15009at,public-700x700/HYEL15009AT/HYEL15009AT-01-700x700.jpg,1,single_image
HYBL16161AT,hybl16161at,public-700x700/HYBL16161AT/HYBL16161AT-01-700x700.jpg,2,two_image_product
MDHZMD249AT,mdhzmd249at,public-700x700/MDHZMD249AT/MDHZMD249AT-01-700x700.jpg,3,three_image_product
