master_type,raw_value,issue_code,count,sample_sd_product_codes
maker,,maker_unregistered,20,ATOTAT320AT | HYOT21691AT | HYOT21695AT | HYOT21696AT | SAOTAT708AT | SAOTAT711AT | SAOTAT712AT | HYOT22733AT | HYOT22737AT | HYOT22740AT
category,,category_unregistered,11,OONT16116AT | ATOTAT320AT | OOZV19421AT | HYNT23812AT | HYNT23813AT | HYNT23814AT | HYIV23815AT | HYNT23816AT | HYNT23817AT | HYNT23820AT
store,,store_unregistered,3,ATBMAT175AT | ATNT18190AT | ATOTAT320AT
maker,EVERLAST,maker_unregistered,1,OOEL15018AT
maker,LEGENDFITNESS,maker_unregistered,1,OOIVAT060BK
maker,PT,maker_unregistered,1,OOPT17074AT
store,売却済み,store_unregistered,1,SANT20551AT
